"UTE: Acciona Infraestructuras, S.A. / Empresa Constructora Familiar",Empresa Constructora Familiar,Empresa Constructora Familiar
"UTE: Acciona infraestructuras, S.A. /Altuna y Uria S.A./Contrucciones Murias",Acciona Infraestructuras,Acciona
"UTE: Acciona infraestructuras, S.A. /Altuna y Uria S.A./Contrucciones Murias",Altuna y Uria,Altuna y Uria
"UTE: Acciona infraestructuras, S.A. /Altuna y Uria S.A./Contrucciones Murias",Construcciones Murias,Construcciones Murias
"UTE: ACCIONA INFRAESTRUCTURAS, S.A. & TECNOLOGÍA DE LA CONSTRUCCIÓN Y OBRAS PÚBLICAS, S.A. & SERRANO AZNAR OBRAS PÚBLICAS",Acciona Infraestructuras,Acciona
"UTE: ACCIONA INFRAESTRUCTURAS, S.A. & TECNOLOGÍA DE LA CONSTRUCCIÓN Y OBRAS PÚBLICAS, S.A. & SERRANO AZNAR OBRAS PÚBLICAS",Serrano Aznar Obras Públicas,Serrano Aznar Obras Públicas
"UTE: ACCIONA INFRAESTRUCTURAS, S.A. & TECNOLOGÍA DE LA CONSTRUCCIÓN Y OBRAS PÚBLICAS, S.A. & SERRANO AZNAR OBRAS PÚBLICAS",Tecnología de la Construcción y Obras Públicas,Tecnología de la Construcción y Obras Públicas
"UTE: ACCIONA INFRAESTRUCTURAS, S.A. E IC CONSTRUCCIÓN Y GESTIÓN DE OBRAS, S.A.UTE (UTE RECAJO)",Acciona Infraestructuras,Acciona
"UTE: ACCIONA INFRAESTRUCTURAS, S.A. E IC CONSTRUCCIÓN Y GESTIÓN DE OBRAS, S.A.UTE (UTE RECAJO)","IC Construcción y Gestión de Obras, S.A.","IC Construcción y Gestión de Obras, S.A."
"UTE: Acciona Infraestructuras, S.A. y Construcción Ingeniería y Gestión de Obras",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. y Construcción Ingeniería y Gestión de Obras",Construcción Ingeniería y Gestión de Obras,Construcción Ingeniería y Gestión de Obras
"UTE: Acciona infraestructuras, S.A. y Construcciones Solius",Acciona Infraestructuras,Acciona
"UTE: Acciona infraestructuras, S.A. y Construcciones Solius",Construcciones Solius,Construcciones Solius
"UTE: Acciona Infraestructuras, S.A. y Copcisa",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. y Copcisa",Construcciones y Obras Públicas Civiles,COPCISA
"UTE: Acciona Infraestructuras, S.A. y Excavaciones Viuda de Sainz",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. y Excavaciones Viuda de Sainz",Excavaciones Vda. de Sainz,Excavaciones Vda. de Sainz
"UTE: Acciona Infraestructuras, S.A. y FCC Construcción",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. y FCC Construcción",FCC,FCC
"UTE: Acciona Infraestructuras, S.A. y Freyssinet, S.A",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. y Freyssinet, S.A",Freyssinet,Freyssinet
"UTE: ACCIONA INFRAESTRUCTURAS, S.A. Y LEVANTINA INGENIERIA Y CONSTRUCION",Acciona Infraestructuras,Acciona
